,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count
3225,1996,0.35,0.24,0.0,0.04,0.62,,,
3226,2002,0.16,0.13,0.29,0.04,0.62,78.0,30.0,38.0
3227,1997,0.35,0.24,0.0,0.04,0.62,,,
3228,2009,0.58,0.0,0.0,0.04,0.62,,,
3229,2006,0.48,0.13,0.0,0.02,0.62,82.0,14.0,5.0
3230,2015,0.31,0.23,0.03,0.05,0.62,,,11.0
3231,1982,0.58,0.03,0.0,0.01,0.62,,,
3232,2003,0.47,0.13,0.0,0.02,0.62,89.0,18.0,14.0
3233,,0.16,0.34,0.01,0.12,0.62,70.0,43.0,44.0
3234,2004,0.3,0.24,0.0,0.08,0.62,71.0,31.0,10.0
3235,2011,0.33,0.2,0.0,0.09,0.62,75.0,5.0,7.0
3236,2011,0.29,0.27,0.0,0.06,0.62,71.0,16.0,20.0
3237,2007,0.19,0.26,0.11,0.06,0.62,46.0,34.0,26.0
3238,2009,0.41,0.16,0.0,0.05,0.62,,,
3239,2014,0.27,0.25,0.0,0.1,0.62,,,
3240,2003,0.38,0.1,0.12,0.02,0.62,93.0,52.0,115.0
3241,2004,0.37,0.22,0.0,0.03,0.62,72.0,6.0,25.0
3242,1999,0.4,0.2,0.0,0.02,0.62,,,
3243,2009,0.28,0.24,0.0,0.1,0.62,86.0,44.0,48.0
3244,2000,0.34,0.23,0.0,0.04,0.62,,,
3245,2004,0.3,0.24,0.0,0.08,0.62,48.0,14.0,4.0
3246,1982,0.58,0.03,0.0,0.01,0.62,,,
3247,2010,0.35,0.2,0.01,0.06,0.62,80.0,73.0,178.0
3248,1999,0.21,0.14,0.23,0.04,0.62,,,
3249,2004,0.3,0.24,0.0,0.08,0.62,68.0,23.0,8.0
3250,2016,0.28,0.29,0.0,0.05,0.62,67.0,20.0,274.0
3251,2008,0.35,0.21,0.0,0.06,0.62,,,
3252,1995,0.0,0.0,0.62,0.0,0.62,,,
3253,2003,0.48,0.12,0.0,0.02,0.62,,,
3254,1996,0.0,0.0,0.62,0.0,0.62,,,
3255,1996,0.0,0.0,0.62,0.0,0.62,,,
3256,2010,0.3,0.26,0.0,0.06,0.62,74.0,69.0,112.0
3257,2011,0.0,0.04,0.57,0.01,0.62,70.0,17.0,35.0
3258,1998,0.59,0.03,0.0,0.0,0.62,,,29.0
3259,2010,0.48,0.09,0.0,0.04,0.62,88.0,20.0,17.0
3260,2012,0.0,0.0,0.62,0.0,0.62,,,
3261,2011,0.0,0.0,0.62,0.0,0.62,,,
3262,1998,0.59,0.02,0.0,0.0,0.62,,,
3263,2001,0.0,0.0,0.58,0.04,0.62,,,
3264,2011,0.4,0.16,0.0,0.05,0.62,80.0,50.0,25.0
3265,2009,0.3,0.25,0.0,0.06,0.62,,,4.0
3266,2008,0.29,0.26,0.0,0.07,0.62,50.0,32.0,6.0
3267,2010,0.07,0.41,0.0,0.13,0.62,,,
3268,2006,0.0,0.57,0.04,0.0,0.61,,,
3269,2009,0.2,0.34,0.0,0.07,0.61,48.0,9.0,7.0
3270,2010,0.17,0.18,0.2,0.07,0.61,68.0,58.0,263.0
3271,2014,0.15,0.36,0.01,0.09,0.61,73.0,33.0,87.0
3272,2007,0.3,0.03,0.25,0.03,0.61,,,
3273,2008,0.56,0.0,0.0,0.05,0.61,82.0,30.0,37.0
3274,2007,0.56,0.0,0.0,0.04,0.61,,,6.0
3275,2008,0.0,0.04,0.0,0.57,0.61,,,
3276,2002,0.46,0.13,0.0,0.02,0.61,72.0,25.0,12.0
3277,2006,0.02,0.02,0.57,0.01,0.61,58.0,26.0,13.0
3278,2009,0.22,0.27,0.01,0.11,0.61,70.0,61.0,55.0
3279,2011,0.5,0.07,0.0,0.05,0.61,56.0,6.0,7.0
3280,2012,0.56,0.01,0.0,0.05,0.61,73.0,13.0,21.0
3281,2011,0.37,0.19,0.0,0.06,0.61,,,
3282,2005,0.44,0.16,0.0,0.01,0.61,,,
3283,2008,0.29,0.02,0.27,0.03,0.61,81.0,42.0,106.0
3284,2014,0.21,0.29,0.01,0.1,0.61,75.0,23.0,259.0
3285,2009,0.42,0.05,0.0,0.14,0.61,91.0,48.0,316.0
3286,2002,0.3,0.23,0.0,0.08,0.61,72.0,20.0,8.0
3287,2004,0.44,0.16,0.0,0.01,0.61,,,5.0
3288,2011,0.3,0.22,0.0,0.09,0.61,70.0,29.0,13.0
3289,,0.43,0.12,0.0,0.05,0.61,86.0,55.0,96.0
3290,2009,0.18,0.27,0.0,0.15,0.61,71.0,47.0,28.0
3291,2004,0.44,0.16,0.0,0.01,0.61,49.0,7.0,6.0
3292,2003,0.3,0.23,0.0,0.08,0.61,81.0,29.0,12.0
3293,2009,0.25,0.22,0.0,0.14,0.61,,,8.0
3294,2010,0.21,0.21,0.11,0.08,0.61,84.0,61.0,304.0
3295,2007,0.0,0.0,0.61,0.0,0.61,,,
3296,2013,0.14,0.34,0.0,0.14,0.61,87.0,82.0,391.0
3297,1998,0.34,0.23,0.0,0.04,0.61,,,
3298,2005,0.37,0.21,0.0,0.03,0.61,90.0,35.0,115.0
3299,1997,0.34,0.23,0.0,0.04,0.61,,,
3300,2009,0.46,0.1,0.0,0.05,0.61,46.0,43.0,67.0
3301,2014,0.26,0.21,0.05,0.1,0.61,77.0,24.0,130.0
3302,2008,0.56,0.0,0.0,0.05,0.61,70.0,28.0,34.0
3303,2009,0.22,0.22,0.08,0.09,0.61,70.0,45.0,51.0
3304,2010,0.09,0.44,0.0,0.07,0.61,79.0,43.0,33.0
3305,2009,0.56,0.0,0.0,0.05,0.61,64.0,29.0,26.0
3306,2005,0.27,0.1,0.22,0.01,0.61,85.0,30.0,70.0
3307,2011,0.27,0.18,0.09,0.07,0.61,58.0,26.0,77.0
3308,2002,0.44,0.16,0.0,0.01,0.61,76.0,5.0,
3309,2014,0.35,0.21,0.0,0.05,0.61,,,
3310,2008,0.56,0.0,0.0,0.05,0.61,,,
3311,2005,0.44,0.16,0.0,0.01,0.61,71.0,9.0,8.0
3312,1999,0.34,0.23,0.0,0.04,0.61,,,
3313,2004,0.44,0.16,0.0,0.01,0.61,62.0,19.0,39.0
3314,2001,0.47,0.12,0.0,0.02,0.61,89.0,12.0,
3315,2001,0.43,0.16,0.0,0.01,0.61,84.0,8.0,11.0
3316,1999,0.58,0.02,0.0,0.0,0.61,,,
3317,2002,0.43,0.16,0.0,0.01,0.61,,,
3318,2009,0.25,0.29,0.0,0.07,0.61,67.0,11.0,4.0
3319,2003,0.5,0.02,0.0,0.08,0.61,75.0,34.0,35.0
3320,2010,0.47,0.08,0.01,0.04,0.61,59.0,14.0,8.0
3321,2010,0.57,0.0,0.0,0.03,0.61,,,
3322,2003,0.43,0.16,0.0,0.01,0.6,86.0,9.0,9.0
3323,2015,0.21,0.23,0.08,0.09,0.6,,,
3324,2004,0.43,0.16,0.0,0.01,0.6,,,
3325,2009,0.4,0.15,0.0,0.05,0.6,,,6.0
3326,2005,0.5,0.02,0.0,0.08,0.6,45.0,28.0,137.0
3327,2001,0.4,0.1,0.09,0.02,0.6,80.0,21.0,29.0
3328,2013,0.2,0.29,0.0,0.11,0.6,43.0,25.0,295.0
3329,2003,0.3,0.23,0.0,0.08,0.6,51.0,24.0,29.0
3330,2011,0.09,0.06,0.42,0.03,0.6,64.0,55.0,69.0
3331,2005,0.42,0.16,0.0,0.02,0.6,88.0,48.0,27.0
3332,2010,0.0,0.0,0.6,0.0,0.6,,,
3333,2013,0.26,0.19,0.07,0.09,0.6,62.0,25.0,140.0
3334,2014,0.42,0.13,0.0,0.06,0.6,,,6.0
3335,2014,0.3,0.23,0.02,0.05,0.6,60.0,53.0,144.0
3336,2007,0.5,0.02,0.0,0.08,0.6,72.0,7.0,9.0
3337,2013,0.12,0.1,0.34,0.05,0.6,68.0,26.0,75.0
3338,1995,0.21,0.14,0.21,0.04,0.6,,,
3339,2013,0.33,0.22,0.0,0.05,0.6,71.0,10.0,58.0
3340,2009,0.13,0.18,0.0,0.29,0.6,61.0,9.0,14.0
3341,2009,0.3,0.24,0.0,0.06,0.6,77.0,77.0,94.0
3342,2010,0.31,0.23,0.0,0.06,0.6,32.0,38.0,23.0
3343,2001,0.29,0.23,0.0,0.08,0.6,63.0,10.0,8.0
3344,2006,0.5,0.02,0.0,0.08,0.6,52.0,29.0,39.0
3345,1997,0.0,0.0,0.6,0.0,0.6,,,
3346,2001,0.29,0.23,0.0,0.08,0.6,87.0,24.0,94.0
3347,1997,0.09,0.26,0.23,0.02,0.6,,,
3348,2000,0.37,0.08,0.14,0.01,0.6,,,
3349,2001,0.29,0.23,0.0,0.08,0.6,81.0,14.0,
3350,2010,0.32,0.23,0.0,0.06,0.6,82.0,78.0,101.0
3351,2007,0.28,0.25,0.0,0.06,0.6,43.0,7.0,8.0
3352,,0.26,0.28,0.0,0.07,0.6,35.0,12.0,6.0
3353,2007,0.51,0.04,0.0,0.05,0.6,,,
3354,2002,0.0,0.0,0.56,0.04,0.6,,,
3355,1998,0.0,0.0,0.56,0.04,0.6,,,
3356,2009,0.32,0.12,0.11,0.04,0.6,81.0,58.0,101.0
3357,2008,0.37,0.16,0.01,0.06,0.6,,,
3358,2013,0.27,0.27,0.0,0.05,0.6,,,
3359,1998,0.33,0.23,0.0,0.04,0.6,,,
3360,2008,0.31,0.23,0.0,0.06,0.6,,,
3361,2008,0.43,0.09,0.04,0.05,0.6,90.0,44.0,236.0
3362,2009,0.11,0.13,0.33,0.02,0.6,,,
3363,2014,0.13,0.38,0.0,0.09,0.6,72.0,47.0,88.0
3364,1995,0.0,0.0,0.6,0.0,0.6,,,
3365,2016,0.17,0.34,0.0,0.09,0.6,69.0,50.0,88.0
3366,2013,0.31,0.23,0.0,0.05,0.6,72.0,13.0,45.0
3367,2008,0.23,0.17,0.14,0.05,0.6,,,
3368,2010,0.56,0.0,0.0,0.04,0.6,,,
3369,2009,0.22,0.24,0.0,0.14,0.6,,,
3370,2014,0.31,0.19,0.0,0.1,0.6,60.0,28.0,306.0
3371,2011,0.19,0.31,0.0,0.09,0.6,90.0,62.0,1180.0
3372,2007,0.29,0.23,0.0,0.08,0.6,71.0,5.0,
3373,2003,0.0,0.0,0.6,0.0,0.6,,,
3374,2005,0.49,0.03,0.03,0.05,0.6,,,
3375,2014,0.27,0.18,0.05,0.09,0.6,,,242.0
3376,2007,0.33,0.02,0.21,0.03,0.6,69.0,27.0,18.0
3377,2010,0.33,0.21,0.0,0.05,0.59,,,
3378,2004,0.29,0.23,0.0,0.08,0.59,62.0,8.0,8.0
3379,2008,0.34,0.2,0.0,0.06,0.59,,,
3380,2005,0.0,0.0,0.59,0.0,0.59,,,
3381,2014,0.08,0.35,0.05,0.12,0.59,,,42.0
3382,1997,0.0,0.0,0.56,0.04,0.59,,,
3383,2008,0.34,0.2,0.0,0.06,0.59,56.0,9.0,17.0
3384,2009,0.38,0.14,0.0,0.07,0.59,44.0,29.0,31.0
3385,1998,0.33,0.22,0.0,0.04,0.59,,,
3386,2001,0.33,0.22,0.0,0.04,0.59,,,
3387,2002,0.46,0.12,0.0,0.02,0.59,80.0,16.0,16.0
3388,2008,0.0,0.53,0.0,0.06,0.59,86.0,28.0,1093.0
3389,2000,0.33,0.22,0.0,0.04,0.59,70.0,6.0,
3390,1998,0.0,0.0,0.55,0.04,0.59,,,
3391,2008,0.29,0.23,0.0,0.08,0.59,,,4.0
3392,2010,0.4,0.12,0.0,0.07,0.59,88.0,38.0,54.0
3393,2012,0.0,0.0,0.59,0.0,0.59,83.0,34.0,180.0
3394,1981,0.55,0.03,0.0,0.01,0.59,,,
3395,2002,0.21,0.17,0.16,0.06,0.59,73.0,19.0,18.0
3396,2004,0.44,0.13,0.0,0.02,0.59,90.0,31.0,19.0
3397,2002,0.46,0.12,0.0,0.02,0.59,62.0,11.0,22.0
3398,1981,0.55,0.03,0.0,0.01,0.59,,,
3399,2008,0.15,0.38,0.0,0.07,0.59,,,
3400,2005,0.25,0.0,0.31,0.02,0.59,,,
3401,2015,0.32,0.22,0.0,0.05,0.59,72.0,18.0,75.0
3402,1997,0.47,0.11,0.0,0.01,0.59,,,
3403,1999,0.47,0.11,0.0,0.01,0.59,,,
3404,2011,0.15,0.34,0.0,0.1,0.59,88.0,24.0,1102.0
3405,2007,0.54,0.0,0.0,0.04,0.59,,,
3406,2003,0.36,0.08,0.14,0.02,0.59,73.0,42.0,47.0
3407,2004,0.0,0.0,0.59,0.0,0.59,,,
3408,2010,0.13,0.22,0.01,0.23,0.59,77.0,8.0,82.0
3409,2010,0.38,0.17,0.0,0.05,0.59,,,
3410,2010,0.25,0.27,0.0,0.06,0.59,82.0,78.0,169.0
3411,1999,0.33,0.22,0.0,0.04,0.59,,,
3412,2010,0.17,0.27,0.05,0.1,0.59,,,
3413,,0.54,0.0,0.01,0.03,0.59,74.0,48.0,44.0
3414,2004,0.31,0.22,0.0,0.06,0.59,60.0,38.0,13.0
3415,2004,0.29,0.22,0.0,0.08,0.59,81.0,26.0,20.0
3416,2014,0.14,0.12,0.27,0.05,0.59,66.0,5.0,242.0
3417,2003,0.34,0.13,0.11,0.01,0.59,81.0,25.0,116.0
3418,2003,0.29,0.22,0.0,0.07,0.59,,,
3419,2008,0.35,0.13,0.0,0.1,0.59,,,12.0
3420,2008,0.24,0.28,0.0,0.06,0.59,80.0,34.0,46.0
3421,1994,0.0,0.0,0.59,0.0,0.59,,,
3422,2009,0.17,0.18,0.2,0.04,0.59,82.0,53.0,39.0
3423,2008,0.3,0.22,0.0,0.06,0.59,44.0,14.0,8.0
3424,2010,0.29,0.21,0.0,0.09,0.59,48.0,39.0,77.0
3425,2003,0.22,0.17,0.14,0.06,0.58,58.0,30.0,38.0
3426,2011,0.25,0.25,0.0,0.08,0.58,90.0,52.0,3069.0
3427,2008,0.29,0.22,0.0,0.07,0.58,,,
3428,2007,0.39,0.02,0.13,0.04,0.58,67.0,34.0,47.0
3429,2009,0.21,0.23,0.0,0.14,0.58,,,
3430,2012,0.39,0.13,0.02,0.04,0.58,77.0,56.0,124.0
3431,1995,0.0,0.0,0.55,0.04,0.58,,,
3432,1997,0.29,0.19,0.07,0.04,0.58,,,
3433,1982,0.55,0.03,0.0,0.01,0.58,,,
3434,2005,0.06,0.04,0.47,0.01,0.58,58.0,23.0,35.0
3435,2008,0.18,0.34,0.0,0.07,0.58,55.0,50.0,58.0
3436,2008,0.15,0.37,0.0,0.07,0.58,68.0,18.0,29.0
3437,2010,0.36,0.17,0.0,0.05,0.58,33.0,6.0,9.0
3438,2004,0.49,0.02,0.0,0.08,0.58,73.0,35.0,60.0
3439,2010,0.5,0.04,0.0,0.04,0.58,74.0,13.0,54.0
3440,2008,0.31,0.23,0.0,0.04,0.58,,,
3441,2008,0.54,0.0,0.0,0.04,0.58,81.0,20.0,25.0
3442,2012,0.2,0.33,0.0,0.05,0.58,,,
3443,2011,0.54,0.0,0.0,0.04,0.58,90.0,30.0,87.0
3444,2010,0.55,0.0,0.0,0.04,0.58,,,
3445,2010,0.38,0.15,0.0,0.05,0.58,,,
3446,2012,0.38,0.15,0.0,0.05,0.58,68.0,31.0,15.0
3447,2000,0.32,0.22,0.0,0.04,0.58,,,
3448,2013,0.38,0.15,0.0,0.05,0.58,89.0,7.0,96.0
3449,2003,0.28,0.22,0.0,0.07,0.58,38.0,21.0,23.0
3450,2009,0.31,0.21,0.0,0.06,0.58,74.0,17.0,6.0
3451,2009,0.31,0.19,0.02,0.06,0.58,73.0,64.0,51.0
3452,2011,0.22,0.24,0.04,0.08,0.58,70.0,51.0,181.0
3453,2013,0.28,0.0,0.27,0.03,0.58,83.0,48.0,251.0
3454,2006,0.53,0.0,0.0,0.04,0.58,84.0,46.0,67.0
3455,1998,0.06,0.3,0.19,0.03,0.58,,,
3456,1997,0.15,0.39,0.0,0.03,0.58,,,
3457,1998,0.14,0.4,0.0,0.04,0.58,,,
3458,2011,0.36,0.15,0.0,0.07,0.58,86.0,33.0,52.0
3459,,0.28,0.22,0.0,0.07,0.58,84.0,10.0,19.0
3460,2000,0.28,0.22,0.0,0.07,0.58,77.0,23.0,13.0
3461,2000,0.23,0.16,0.16,0.04,0.58,42.0,5.0,47.0
3462,1998,0.0,0.0,0.54,0.04,0.58,,,
3463,2005,0.33,0.22,0.0,0.03,0.58,85.0,46.0,28.0
3464,2004,0.28,0.22,0.0,0.07,0.58,,,
3465,1998,0.32,0.22,0.0,0.04,0.58,,,
3466,2004,0.42,0.15,0.0,0.01,0.58,,,
3467,2009,0.14,0.37,0.0,0.07,0.58,,,5.0
3468,2013,0.05,0.02,0.5,0.01,0.58,71.0,53.0,55.0
3469,2002,0.28,0.22,0.0,0.07,0.58,78.0,33.0,25.0
3470,1998,0.32,0.22,0.0,0.04,0.58,,,
3471,1992,0.0,0.0,0.58,0.0,0.58,,,
3472,2009,0.22,0.1,0.23,0.03,0.58,71.0,49.0,38.0
3473,2013,0.14,0.34,0.0,0.1,0.58,91.0,23.0,310.0
3474,1996,0.0,0.0,0.58,0.0,0.58,,,
3475,2012,0.16,0.32,0.02,0.08,0.58,79.0,45.0,79.0
3476,2000,0.32,0.22,0.0,0.04,0.58,77.0,14.0,32.0
3477,2002,0.45,0.12,0.0,0.02,0.58,91.0,19.0,21.0
3478,2008,0.52,0.02,0.0,0.04,0.58,,,
3479,2006,0.28,0.22,0.0,0.07,0.58,52.0,22.0,17.0
3480,2005,0.48,0.02,0.0,0.08,0.58,78.0,27.0,29.0
3481,1999,0.32,0.22,0.0,0.04,0.58,79.0,14.0,77.0
3482,1999,0.55,0.02,0.0,0.0,0.58,,,
3483,2008,0.5,0.03,0.0,0.04,0.58,70.0,37.0,25.0
3484,2014,0.1,0.2,0.22,0.06,0.58,,,34.0
3485,2012,0.07,0.44,0.0,0.07,0.58,,,
3486,,0.53,0.02,0.0,0.03,0.58,90.0,16.0,8.0
3487,2009,0.28,0.22,0.0,0.07,0.58,,,
3488,2011,0.35,0.18,0.0,0.05,0.57,76.0,4.0,6.0
3489,1994,0.24,0.16,0.13,0.04,0.57,,,
3490,2005,0.32,0.24,0.0,0.02,0.57,85.0,56.0,73.0
3491,2008,0.28,0.22,0.0,0.07,0.57,,,
3492,2002,0.41,0.15,0.0,0.01,0.57,85.0,13.0,4.0
3493,2005,0.53,0.0,0.0,0.04,0.57,63.0,32.0,16.0
3494,2005,0.0,0.0,0.57,0.0,0.57,78.0,22.0,109.0
3495,2013,0.33,0.19,0.0,0.05,0.57,75.0,18.0,203.0
3496,2000,0.0,0.0,0.54,0.04,0.57,,,
3497,2007,0.29,0.22,0.0,0.06,0.57,62.0,48.0,65.0
3498,2004,0.41,0.15,0.0,0.01,0.57,60.0,25.0,12.0
3499,2012,0.24,0.23,0.0,0.1,0.57,89.0,20.0,296.0
3500,2007,0.52,0.01,0.0,0.04,0.57,,,
3501,1995,0.11,0.08,0.35,0.04,0.57,,,
3502,2008,0.22,0.02,0.0,0.33,0.57,,,6.0
3503,2011,0.32,0.2,0.0,0.05,0.57,82.0,8.0,62.0
3504,2010,0.52,0.02,0.0,0.04,0.57,,,
3505,2009,0.02,0.18,0.0,0.38,0.57,81.0,31.0,72.0
3506,2005,0.44,0.11,0.0,0.02,0.57,86.0,21.0,11.0
3507,2007,0.24,0.0,0.31,0.02,0.57,,,
3508,2016,0.37,0.15,0.0,0.05,0.57,87.0,31.0,261.0
3509,2009,0.36,0.1,0.06,0.06,0.57,87.0,50.0,112.0
3510,2007,0.5,0.03,0.0,0.05,0.57,,,
3511,2008,0.27,0.24,0.0,0.06,0.57,45.0,43.0,52.0
3512,2004,0.47,0.02,0.0,0.08,0.57,73.0,27.0,27.0
3513,1986,0.0,0.0,0.57,0.0,0.57,,,
3514,1997,0.48,0.08,0.0,0.0,0.57,,,
3515,2009,0.38,0.12,0.0,0.07,0.57,88.0,35.0,40.0
3516,2010,0.28,0.21,0.0,0.08,0.57,,,4.0
3517,2010,0.43,0.08,0.0,0.05,0.57,91.0,34.0,95.0
3518,2001,0.43,0.12,0.0,0.02,0.57,71.0,30.0,13.0
3519,2005,0.11,0.08,0.35,0.03,0.57,57.0,22.0,26.0
3520,2009,0.52,0.01,0.0,0.04,0.57,,,
3521,2008,0.35,0.03,0.17,0.03,0.57,,,
3522,2014,0.29,0.23,0.0,0.05,0.57,56.0,25.0,63.0
3523,2002,0.28,0.22,0.0,0.07,0.57,,,
3524,2006,0.47,0.02,0.0,0.08,0.57,77.0,28.0,33.0
3525,2002,0.42,0.11,0.02,0.02,0.57,74.0,36.0,13.0
3526,1992,0.0,0.0,0.57,0.0,0.57,,,
3527,2013,0.38,0.14,0.0,0.05,0.57,60.0,27.0,249.0
3528,2011,0.27,0.11,0.14,0.05,0.57,80.0,39.0,126.0
3529,2008,0.52,0.0,0.0,0.04,0.57,,,5.0
3530,2003,0.45,0.1,0.0,0.02,0.57,70.0,8.0,17.0
3531,2012,0.26,0.21,0.0,0.1,0.57,67.0,16.0,107.0
3532,2002,0.0,0.0,0.57,0.0,0.57,,,
3533,2007,0.49,0.04,0.0,0.04,0.57,63.0,61.0,53.0
3534,2011,0.1,0.11,0.29,0.06,0.57,74.0,4.0,8.0
3535,2009,0.28,0.23,0.0,0.06,0.57,69.0,79.0,258.0
3536,2009,0.2,0.3,0.0,0.07,0.57,67.0,11.0,
3537,2015,0.27,0.25,0.0,0.05,0.57,73.0,7.0,11.0
3538,2011,0.37,0.14,0.0,0.05,0.57,66.0,31.0,13.0
3539,2002,0.39,0.16,0.0,0.02,0.57,87.0,32.0,19.0
3540,2004,0.19,0.15,0.17,0.05,0.57,58.0,35.0,70.0
3541,2008,0.08,0.36,0.0,0.12,0.57,75.0,36.0,20.0
3542,2000,0.31,0.21,0.0,0.04,0.57,,,
3543,2003,0.28,0.22,0.0,0.07,0.57,73.0,37.0,35.0
3544,2007,0.21,0.22,0.0,0.13,0.57,78.0,32.0,28.0
3545,2007,0.29,0.22,0.0,0.06,0.57,,,
3546,2012,0.32,0.0,0.21,0.03,0.57,78.0,33.0,122.0
3547,2009,0.36,0.11,0.03,0.07,0.57,77.0,66.0,96.0
3548,2009,0.22,0.28,0.0,0.06,0.56,62.0,6.0,4.0
3549,2000,0.11,0.08,0.34,0.04,0.56,83.0,10.0,45.0
3550,2015,0.05,0.07,0.42,0.02,0.56,,,47.0
3551,2003,0.44,0.11,0.0,0.02,0.56,77.0,29.0,29.0
3552,2007,0.23,0.18,0.09,0.06,0.56,83.0,49.0,59.0
3553,2008,0.52,0.0,0.0,0.04,0.56,,,
3554,2003,0.4,0.15,0.0,0.01,0.56,,,
3555,2004,0.4,0.15,0.0,0.01,0.56,,,
3556,2015,0.27,0.14,0.12,0.04,0.56,,,
3557,2014,0.22,0.3,0.0,0.04,0.56,86.0,29.0,1727.0
3558,2006,0.28,0.22,0.0,0.07,0.56,66.0,18.0,14.0
3559,2003,0.4,0.15,0.0,0.01,0.56,77.0,13.0,11.0
3560,2001,0.28,0.22,0.0,0.07,0.56,78.0,18.0,8.0
3561,2008,0.34,0.17,0.0,0.05,0.56,64.0,11.0,19.0
3562,2004,0.31,0.11,0.13,0.01,0.56,66.0,10.0,6.0
3563,2003,0.4,0.14,0.0,0.02,0.56,81.0,26.0,12.0
3564,2007,0.28,0.22,0.0,0.07,0.56,63.0,9.0,7.0
3565,2001,0.31,0.21,0.0,0.04,0.56,65.0,10.0,8.0
3566,2011,0.25,0.26,0.0,0.06,0.56,76.0,57.0,232.0
3567,2006,0.28,0.21,0.0,0.07,0.56,,,
3568,2008,0.09,0.4,0.0,0.07,0.56,78.0,47.0,36.0
3569,2004,0.4,0.15,0.0,0.01,0.56,,,
3570,2004,0.28,0.21,0.0,0.07,0.56,55.0,4.0,16.0
3571,2009,0.4,0.11,0.0,0.05,0.56,71.0,50.0,31.0
3572,2001,0.28,0.21,0.0,0.07,0.56,81.0,18.0,
3573,1999,0.31,0.21,0.0,0.04,0.56,,,
3574,2007,0.28,0.21,0.0,0.07,0.56,,,
3575,2005,0.39,0.15,0.0,0.02,0.56,80.0,49.0,29.0
3576,2009,0.21,0.22,0.05,0.09,0.56,74.0,35.0,39.0
3577,2001,0.27,0.21,0.0,0.07,0.56,77.0,16.0,8.0
3578,2002,0.4,0.15,0.0,0.01,0.56,,,
3579,2015,0.3,0.21,0.0,0.05,0.56,,,
3580,2009,0.51,0.01,0.0,0.04,0.56,,,
3581,2005,0.43,0.11,0.0,0.02,0.56,80.0,18.0,22.0
3582,2000,0.31,0.21,0.0,0.04,0.56,,,
3583,2008,0.19,0.31,0.0,0.06,0.56,50.0,4.0,5.0
3584,2003,0.43,0.11,0.0,0.02,0.56,68.0,26.0,25.0
3585,1999,0.39,0.09,0.07,0.01,0.56,,,
3586,1993,0.09,0.02,0.45,0.0,0.56,,,
3587,2007,0.27,0.21,0.0,0.07,0.56,67.0,22.0,53.0
3588,2003,0.15,0.12,0.26,0.04,0.56,56.0,35.0,38.0
3589,2006,0.41,0.07,0.0,0.07,0.56,68.0,11.0,14.0
3590,2001,0.0,0.0,0.56,0.0,0.56,,,
3591,2005,0.27,0.21,0.0,0.07,0.56,64.0,41.0,70.0
3592,2006,0.5,0.01,0.0,0.04,0.56,,,9.0
3593,2016,0.0,0.0,0.56,0.0,0.56,,,
3594,2007,0.49,0.02,0.0,0.04,0.56,72.0,59.0,44.0
3595,2003,0.27,0.21,0.0,0.07,0.56,56.0,6.0,8.0
3596,2002,0.4,0.15,0.0,0.01,0.56,47.0,5.0,4.0
3597,2009,0.28,0.22,0.0,0.06,0.56,72.0,66.0,128.0
3598,2003,0.4,0.15,0.0,0.01,0.56,,,
3599,2002,0.39,0.15,0.0,0.02,0.56,71.0,36.0,41.0
3600,2003,0.27,0.21,0.0,0.07,0.56,91.0,20.0,25.0
3601,1994,0.0,0.0,0.56,0.0,0.56,,,
3602,2005,0.52,0.02,0.0,0.02,0.56,81.0,25.0,17.0
3603,2010,0.33,0.16,0.02,0.05,0.56,72.0,19.0,4.0
3604,2008,0.0,0.0,0.56,0.0,0.56,,,
3605,2012,0.21,0.17,0.09,0.08,0.56,83.0,73.0,625.0
3606,2016,0.3,0.2,0.01,0.05,0.56,77.0,106.0,1659.0
3607,2005,0.17,0.24,0.0,0.14,0.56,75.0,39.0,21.0
3608,2007,0.48,0.03,0.0,0.05,0.56,58.0,31.0,32.0
3609,2014,0.2,0.26,0.01,0.09,0.56,,,100.0
3610,2001,0.27,0.21,0.0,0.07,0.56,59.0,14.0,17.0
3611,2014,0.15,0.37,0.0,0.04,0.56,,,12.0
3612,2011,0.13,0.09,0.27,0.06,0.56,77.0,41.0,80.0
3613,2008,0.34,0.15,0.01,0.05,0.56,75.0,55.0,77.0
3614,2001,0.27,0.21,0.0,0.07,0.56,76.0,17.0,9.0
3615,2006,0.42,0.12,0.0,0.01,0.56,88.0,20.0,10.0
3616,1998,0.27,0.18,0.06,0.04,0.55,78.0,15.0,35.0
3617,2010,0.25,0.05,0.22,0.03,0.55,68.0,6.0,13.0
3618,2007,0.29,0.17,0.04,0.05,0.55,83.0,64.0,259.0
3619,1999,0.31,0.21,0.0,0.04,0.55,,,
3620,2011,0.39,0.08,0.02,0.06,0.55,84.0,58.0,208.0
3621,2008,0.49,0.02,0.0,0.04,0.55,47.0,4.0,5.0
3622,2001,0.27,0.21,0.0,0.07,0.55,80.0,22.0,35.0
3623,2005,0.34,0.01,0.15,0.06,0.55,94.0,53.0,439.0
3624,2006,0.42,0.11,0.0,0.02,0.55,,,
3625,2010,0.24,0.22,0.01,0.09,0.55,80.0,53.0,312.0
3626,1994,0.0,0.0,0.55,0.0,0.55,,,
3627,2002,0.4,0.13,0.0,0.02,0.55,68.0,33.0,15.0
